#
#       site : https://molat.obspm.fr/index.php?page=pages/Molecules/CO-Rostas/view_data.php&fichier=T112C16O.txt
#
#       Table 1A. Absorption lines of 12C16O listed by rotational number (J") of
#                 the lower level.  
#
#       - column no 1 : (" between quotes ") band identification
#       - column no 2 : lower vibrational level
#       - column no 3 : lower rotational  level
#       - column no 4 : wavelength (in nm)
#       - column no 5 : wavenumber (in cm-1)
#       - column no 6 : oscillator strength
#       - column no 7 : upper state reciprocal lifetime (in s-1)
#       - column no 8 : upper state branching ratio towards dissociation
#
#       For more details concerning this table, please refer to page 234 of the paper by
#       Eidelsberg et al.(1991) which can be downloaded from this site. 
#
nb of lines:  3051
"C12O16 41   B  3ss1S 2-0 R( 6)"   0   6  109.8750  91012.53 2.015E-05 3.333E+11 1.000E+00
"C12O16 42   B  3ss1S 1-0 P( 6)"   0   6  112.3908  88975.23 3.304E-04 1.000E+08 0.000E+00
"C12O16 42   B  3ss1S 1-0 R( 6)"   0   6  112.3278  89025.19 3.857E-04 1.000E+08 0.000E+00
"C12O16 43   B  3ss1S 0-0 P( 6)"   0   6  115.0829  86893.88 2.084E-03 1.000E+08 0.000E+00
"C12O16 43   B  3ss1S 0-0 R( 6)"   0   6  115.0159  86944.52 2.432E-03 1.000E+08 0.000E+00
"C12O16 7A         1P 0-0 P( 7)"   0   7   91.2926 109537.90 6.754E-04 1.000E+10 1.000E+00
"C12O16 7A         1P 0-0 Q( 7)"   0   7   91.2702 109564.74 1.689E-03 1.000E+10 1.000E+00
"C12O16 7A         1P 0-0 R( 7)"   0   7   91.2447 109595.38 1.014E-03 1.000E+10 1.000E+00
"C12O16 7B      5ps1S 1-0 P( 7)"   0   7   91.3653 109450.74 7.835E-04 1.000E+10 1.000E+00
"C12O16 7B      5ps1S 1-0 R( 7)"   0   7   91.3196 109505.57 8.959E-04 1.000E+10 1.000E+00
"C12O16 7C      5pp1P 1-0 P( 7)"   0   7   91.3639 109452.37 3.358E-04 1.000E+10 1.000E+00
"C12O16 7C      5pp1P 1-0 Q( 7)"   0   7   91.3412 109479.62 8.397E-04 1.000E+10 1.000E+00
"C12O16 7C      5pp1P 1-0 R( 7)"   0   7   91.3153 109510.73 5.040E-04 1.000E+10 1.000E+00
"C12O16 7D         1S 2-0 P( 7)"   0   7   91.3942 109416.15 1.257E-02 1.000E+10 1.000E+00
"C12O16 7D         1S 2-0 R( 7)"   0   7   91.3499 109469.16 1.437E-02 1.000E+10 1.000E+00
"C12O16 8A      6pp1P 0-0 P( 7)"   0   7   91.5959 109175.16 3.961E-04 1.000E+11 1.000E+00
"C12O16 8A      6pp1P 0-0 Q( 7)"   0   7   91.5736 109201.76 9.904E-04 1.000E+11 1.000E+00
"C12O16 8A      6pp1P 0-0 R( 7)"   0   7   91.5481 109232.16 5.944E-04 1.000E+11 1.000E+00
"C12O16 8B      6ps1S 0-0 P( 7)"   0   7   91.6271 109138.04 3.695E-03 1.000E+11 1.000E+00
"C12O16 8B      6ps1S 0-0 R( 7)"   0   7   91.5842 109189.18 4.224E-03 1.000E+11 1.000E+00
"C12O16 9A         1P 2-0 P( 7)"   0   7   91.7589 108981.31 4.538E-03 1.000E+11 1.000E+00
"C12O16 9A         1P 2-0 Q( 7)"   0   7   91.7392 109004.61 1.135E-02 1.000E+11 1.000E+00
"C12O16 9A         1P 2-0 R( 7)"   0   7   91.7169 109031.20 6.810E-03 1.000E+11 1.000E+00
"C12O16 9B      6ss1S 0-0 P( 7)"   0   7   91.9361 108771.24 1.317E-03 1.000E+11 1.000E+00
"C12O16 9B      6ss1S 0-0 R( 7)"   0   7   91.8818 108835.44 1.506E-03 1.000E+11 1.000E+00
"C12O16 9C      5ss1S 1-0 P( 7)"   0   7   92.0375 108651.36 1.314E-03 1.000E+11 1.000E+00
"C12O16 9C      5ss1S 1-0 R( 7)"   0   7   91.9891 108708.49 1.502E-03 1.000E+11 1.000E+00
"C12O16 10      5ds1S 0-0 P( 7)"   0   7   92.2993 108343.16 2.947E-03 3.333E+11 1.000E+00
"C12O16 10      5ds1S 0-0 R( 7)"   0   7   92.2508 108400.16 3.370E-03 3.333E+11 1.000E+00
"C12O16 11         1S 1-0 P( 7)"   0   7   92.4882 108121.96 2.405E-03 1.000E+11 1.000E+00
"C12O16 11         1S 1-0 R( 7)"   0   7   92.4404 108177.83 2.750E-03 1.000E+11 1.000E+00
"C12O16 12   W  3ss1P 3-0 P( 7)"   0   7   92.6140 107975.09 3.268E-03 3.333E+11 1.000E+00
"C12O16 12   W  3ss1P 3-0 Q( 7)"   0   7   92.5943 107998.05 8.173E-03 3.333E+11 1.000E+00
"C12O16 12   W  3ss1P 3-0 R( 7)"   0   7   92.5718 108024.23 4.905E-03 3.333E+11 1.000E+00
"C12O16 13         1P 2-0 P( 7)"   0   7   92.8895 107654.84 1.336E-03 1.000E+11 1.000E+00
"C12O16 13         1P 2-0 Q( 7)"   0   7   92.8664 107681.60 3.341E-03 1.000E+11 1.000E+00
"C12O16 13         1P 2-0 R( 7)"   0   7   92.8400 107712.17 2.005E-03 1.000E+11 1.000E+00
"C12O16 14         1P 2-0 P( 7)"   0   7   93.0331 107488.58 1.269E-03 1.000E+11 1.000E+00
"C12O16 14         1P 2-0 Q( 7)"   0   7   93.0111 107514.03 3.174E-03 1.000E+11 1.000E+00
"C12O16 14         1P 2-0 R( 7)"   0   7   92.9860 107543.10 1.905E-03 1.000E+11 1.000E+00
"C12O16 15A     5pp1P 0-0 P( 7)"   0   7   93.1407 107364.44 1.207E-03 1.000E+11 1.000E+00
"C12O16 15A     5pp1P 0-0 Q( 7)"   0   7   93.1207 107387.53 3.017E-03 1.000E+11 1.000E+00
"C12O16 15A     5pp1P 0-0 R( 7)"   0   7   93.0978 107413.91 1.811E-03 1.000E+11 1.000E+00
"C12O16 15B     5pp1P 0-0 P( 7)"   0   7   93.2046 107290.82 2.413E-03 1.000E+11 1.000E+00
"C12O16 15B     5pp1P 0-0 Q( 7)"   0   7   93.1869 107311.17 6.033E-03 1.000E+11 1.000E+00
"C12O16 15B     5pp1P 0-0 R( 7)"   0   7   93.1670 107334.11 3.620E-03 1.000E+11 1.000E+00
"C12O16 15C     5ps1S 0-0 P( 7)"   0   7   93.3213 107156.72 1.029E-02 1.000E+10 1.000E+00
"C12O16 15C     5ps1S 0-0 R( 7)"   0   7   93.2657 107220.52 1.177E-02 1.000E+10 1.000E+00
"C12O16 16         1S 2-0 P( 7)"   0   7   93.6268 106807.00 1.758E-03 3.333E+11 1.000E+00
"C12O16 16         1S 2-0 R( 7)"   0   7   93.6026 106834.60 2.009E-03 3.333E+11 1.000E+00
"C12O16 *          1S 0-0 P( 7)"   0   7   93.8222 106584.60 5.992E-06 3.333E+11 1.000E+00
"C12O16 *          1S 0-0 R( 7)"   0   7   93.7720 106641.62 6.852E-06 3.333E+11 1.000E+00
"C12O16 17   I' 5ss1S 0-0 P( 7)"   0   7   94.0392 106338.62 9.960E-03 1.000E+12 1.000E+00
"C12O16 17   I' 5ss1S 0-0 R( 7)"   0   7   93.9854 106399.52 1.139E-02 1.000E+12 1.000E+00
"C12O16 18   W  3ss1P 2-0 P( 7)"   0   7   94.1518 106211.44 5.152E-03 1.000E+11 1.000E+00
"C12O16 18   W  3ss1P 2-0 Q( 7)"   0   7   94.1317 106234.19 1.288E-02 1.000E+11 1.000E+00
"C12O16 18   W  3ss1P 2-0 R( 7)"   0   7   94.1086 106260.19 7.731E-03 1.000E+11 1.000E+00
"C12O16 19      4ds1S 0-0 P( 7)"   0   7   94.6541 105647.82 3.556E-03 1.000E+11 1.000E+00
"C12O16 19      4ds1S 0-0 R( 7)"   0   7   94.6036 105704.27 4.066E-03 1.000E+11 1.000E+00
"C12O16 20   L  4pp1P 1-0 P( 7)"   0   7   94.8614 105416.99 5.577E-04 1.000E+10 1.000E+00
"C12O16 20   L  4pp1P 1-0 Q( 7)"   0   7   94.8367 105444.42 1.395E-03 1.000E+10 1.000E+00
"C12O16 20   L  4pp1P 1-0 R( 7)"   0   7   94.8085 105475.77 8.370E-04 1.000E+10 1.000E+00
"C12O16 21   H  4ps1S 1-0 P( 7)"   0   7   95.0275 105232.71 1.028E-02 1.000E+12 1.000E+00
"C12O16 21   H  4ps1S 1-0 R( 7)"   0   7   94.9750 105290.82 1.176E-02 1.000E+12 1.000E+00
"C12O16 22   W  3ss1P 1-0 P( 7)"   0   7   95.6619 104534.78 2.693E-03 3.333E+11 1.000E+00
"C12O16 22   W  3ss1P 1-0 Q( 7)"   0   7   95.6419 104556.67 6.734E-03 3.333E+11 1.000E+00
"C12O16 22   W  3ss1P 1-0 R( 7)"   0   7   95.6191 104581.67 4.041E-03 3.333E+11 1.000E+00
"C12O16 23   H'    3P 3-0 P( 7)"   0   7   96.0743 104086.16 5.144E-05 3.333E+11 1.000E+00
"C12O16 23   H'    3P 3-0 Q( 7)"   0   7   96.0562 104105.76 1.286E-04 3.333E+11 1.000E+00
"C12O16 23   H'    3P 3-0 R( 7)"   0   7   96.0355 104128.16 7.719E-05 3.333E+11 1.000E+00
"C12O16 24   J  4ss1S 1-0 P( 7)"   0   7   96.4649 103664.69 1.304E-03 3.333E+11 1.000E+00
"C12O16 24   J  4ss1S 1-0 R( 7)"   0   7   96.4113 103722.27 1.491E-03 3.333E+11 1.000E+00
"C12O16 25   L  4pp1P 0-0 P( 7)"   0   7   96.8548 103247.38 1.547E-03 1.000E+10 1.000E+00
"C12O16 25   L  4pp1P 0-0 Q( 7)"   0   7   96.8288 103275.09 3.869E-03 1.000E+10 1.000E+00
"C12O16 25   L  4pp1P 0-0 R( 7)"   0   7   96.7991 103306.74 2.322E-03 1.000E+10 1.000E+00
"C12O16 26   L' 3dp1P 1-0 P( 7)"   0   7   96.9184 103179.60 2.479E-03 3.333E+11 1.000E+00
"C12O16 26   L' 3dp1P 1-0 Q( 7)"   0   7   96.8948 103204.74 6.199E-03 3.333E+11 1.000E+00
"C12O16 26   L' 3dp1P 1-0 R( 7)"   0   7   96.8678 103233.46 3.720E-03 3.333E+11 1.000E+00
"C12O16 27   K  4ps1S 0-0 P( 7)"   0   7   97.0615 103027.42 9.798E-03 1.000E+10 1.000E+00
"C12O16 27   K  4ps1S 0-0 R( 7)"   0   7   97.0076 103084.71 1.120E-02 1.000E+10 1.000E+00
"C12O16 28   W  3ss1P 0-0 P( 7)"   0   7   97.3096 102764.81 2.412E-03 1.000E+10 1.000E+00
"C12O16 28   W  3ss1P 0-0 Q( 7)"   0   7   97.2890 102786.56 6.030E-03 1.000E+10 1.000E+00
"C12O16 28   W  3ss1P 0-0 R( 7)"   0   7   97.2655 102811.39 3.619E-03 1.000E+10 1.000E+00
"C12O16 29   W'    3P 2-0 P( 7)"   0   7   97.7824 102267.87 3.642E-04 1.000E+11 1.000E+00
"C12O16 29   W'    3P 2-0 Q( 7)"   0   7   97.7619 102289.36 9.106E-04 1.000E+11 1.000E+00
"C12O16 29   W'    3P 2-0 R( 7)"   0   7   97.7384 102313.92 5.465E-04 1.000E+11 1.000E+00
"C12O16 30   F  3ds1S 1-0 P( 7)"   0   7   98.2881 101741.76 2.239E-04 3.333E+11 1.000E+00
"C12O16 30   F  3ds1S 1-0 R( 7)"   0   7   98.2345 101797.23 2.560E-04 3.333E+11 1.000E+00
"C12O16 31   J  4ss1S 0-0 P( 7)"   0   7   98.5860 101434.29 7.164E-03 1.000E+12 1.000E+00
"C12O16 31   J  4ss1S 0-0 R( 7)"   0   7   98.5298 101492.10 8.192E-03 1.000E+12 1.000E+00
"C12O16 32   G  3dp1P 0-0 P( 7)"   0   7   99.0042 101005.79 9.225E-05 1.000E+11 1.000E+00
"C12O16 32   G  3dp1P 0-0 Q( 7)"   0   7   98.9773 101033.26 2.307E-04 1.000E+11 1.000E+00
"C12O16 32   G  3dp1P 0-0 R( 7)"   0   7   98.9466 101064.65 1.385E-04 1.000E+11 1.000E+00
"C12O16 *    G'    3P 1-0 P( 7)"   0   7   99.3959 100607.77 2.289E-06 1.000E+10 1.000E+00
"C12O16 *    G'    3P 1-0 Q( 7)"   0   7   99.3750 100628.91 5.723E-06 1.000E+10 1.000E+00
"C12O16 *    G'    3P 1-0 R( 7)"   0   7   99.3512 100653.05 3.434E-06 1.000E+10 1.000E+00
"C12O16 *    C  3ps1S 4-0 P( 7)"   0   7   99.6407 100360.64 1.063E-04 1.000E+12 1.000E+00
"C12O16 *    C  3ps1S 4-0 R( 7)"   0   7   99.5859 100415.84 1.215E-04 1.000E+12 1.000E+00
"C12O16 33   F  3ds1S 0-0 P( 7)"   0   7  100.2913  99709.59 3.703E-03 3.333E+11 1.000E+00
"C12O16 33   F  3ds1S 0-0 R( 7)"   0   7  100.2375  99763.07 4.234E-03 3.333E+11 1.000E+00
"C12O16 34   V     3P 0-0 P( 7)"   0   7  101.1284  98884.18 8.843E-06 1.000E+09 1.000E+00
"C12O16 34   V     3P 0-0 Q( 7)"   0   7  101.1039  98908.19 2.211E-05 1.000E+09 1.000E+00
"C12O16 34   V     3P 0-0 R( 7)"   0   7  101.0759  98935.60 1.327E-05 1.000E+09 1.000E+00
"C12O16 35   C  3ps1S 3-0 P( 7)"   0   7  101.8168  98215.63 2.035E-05 1.000E+09 1.000E+00
"C12O16 35   C  3ps1S 3-0 R( 7)"   0   7  101.7585  98271.91 2.327E-05 1.000E+09 1.000E+00
"C12O16 36   E  3pp1P 2-0 P( 7)"   0   7  102.9589  97126.11 8.530E-06 1.000E+10 1.000E+00
"C12O16 36   E  3pp1P 2-0 Q( 7)"   0   7  102.9316  97151.91 2.133E-05 1.000E+10 1.000E+00
"C12O16 36   E  3pp1P 2-0 R( 7)"   0   7  102.8985  97183.16 1.280E-05 1.000E+10 1.000E+00
"C12O16 *    C  3ps1S 2-0 P( 7)"   0   7  104.0050  96149.23 4.876E-06 1.000E+10 1.000E+00
"C12O16 *    C  3ps1S 2-0 R( 7)"   0   7  103.9433  96206.31 5.576E-06 1.000E+10 1.000E+00
"C12O16 37   E  3pp1P 1-0 P( 7)"   0   7  105.2004  95056.68 4.943E-04 1.000E+10 9.800E-01
"C12O16 37   E  3pp1P 1-0 Q( 7)"   0   7  105.1704  95083.83 1.236E-03 1.000E+10 9.800E-01
"C12O16 37   E  3pp1P 1-0 R( 7)"   0   7  105.1361  95114.85 7.419E-04 1.000E+10 9.800E-01
"C12O16 38   C  3ps1S 1-0 P( 7)"   0   7  106.3392  94038.72 1.292E-03 1.000E+09 6.000E-01
"C12O16 38   C  3ps1S 1-0 R( 7)"   0   7  106.2740  94096.42 1.478E-03 1.000E+09 6.000E-01
"C12O16 39   E  3pp1P 0-0 P( 7)"   0   7  107.6370  92904.83 7.298E-03 1.000E+09 8.900E-01
"C12O16 39   E  3pp1P 0-0 Q( 7)"   0   7  107.6060  92931.66 1.825E-02 1.000E+09 8.900E-01
"C12O16 39   E  3pp1P 0-0 R( 7)"   0   7  107.5688  92963.74 1.095E-02 1.000E+09 8.900E-01
"C12O16 40   C  3ps1S 0-0 P( 7)"   0   7  108.8221  91893.08 2.886E-02 1.000E+09 0.000E+00
"C12O16 40   C  3ps1S 0-0 R( 7)"   0   7  108.7532  91951.36 3.301E-02 1.000E+09 0.000E+00
"C12O16 41   B  3ss1S 2-0 P( 7)"   0   7  109.9392  90959.35 1.746E-05 3.333E+11 1.000E+00
"C12O16 41   B  3ss1S 2-0 R( 7)"   0   7  109.8712  91015.66 1.996E-05 3.333E+11 1.000E+00
"C12O16 42   B  3ss1S 1-0 P( 7)"   0   7  112.3957  88971.38 3.340E-04 1.000E+08 0.000E+00
"C12O16 42   B  3ss1S 1-0 R( 7)"   0   7  112.3229  89029.02 3.820E-04 1.000E+08 0.000E+00
"C12O16 43   B  3ss1S 0-0 P( 7)"   0   7  115.0876  86890.35 2.107E-03 1.000E+08 0.000E+00
"C12O16 43   B  3ss1S 0-0 R( 7)"   0   7  115.0103  86948.77 2.409E-03 1.000E+08 0.000E+00
"C12O16 7A         1P 0-0 P( 8)"   0   8   91.2959 109533.99 6.952E-04 1.000E+10 1.000E+00
"C12O16 7A         1P 0-0 Q( 8)"   0   8   91.2703 109564.63 1.689E-03 1.000E+10 1.000E+00
"C12O16 7A         1P 0-0 R( 8)"   0   8   91.2417 109599.07 9.938E-04 1.000E+10 1.000E+00
"C12O16 7B      5ps1S 1-0 P( 8)"   0   8   91.3696 109445.58 7.901E-04 1.000E+10 1.000E+00
"C12O16 7B      5ps1S 1-0 R( 8)"   0   8   91.3178 109507.72 8.894E-04 1.000E+10 1.000E+00
"C12O16 7C      5pp1P 1-0 P( 8)"   0   8   91.3669 109448.88 3.457E-04 1.000E+10 1.000E+00
"C12O16 7C      5pp1P 1-0 Q( 8)"   0   8   91.3409 109479.98 8.397E-04 1.000E+10 1.000E+00
"C12O16 7C      5pp1P 1-0 R( 8)"   0   8   91.3118 109514.91 4.941E-04 1.000E+10 1.000E+00
"C12O16 7D         1S 2-0 P( 8)"   0   8   91.3992 109410.15 1.267E-02 1.000E+10 1.000E+00
"C12O16 7D         1S 2-0 R( 8)"   0   8   91.3491 109470.18 1.426E-02 1.000E+10 1.000E+00
"C12O16 8A      6pp1P 0-0 P( 8)"   0   8   91.5994 109171.01 4.077E-04 1.000E+11 1.000E+00
"C12O16 8A      6pp1P 0-0 Q( 8)"   0   8   91.5739 109201.41 9.904E-04 1.000E+11 1.000E+00
"C12O16 8A      6pp1P 0-0 R( 8)"   0   8   91.5452 109235.61 5.828E-04 1.000E+11 1.000E+00
"C12O16 8B      6ps1S 0-0 P( 8)"   0   8   91.6328 109131.18 3.725E-03 1.000E+11 1.000E+00
"C12O16 8B      6ps1S 0-0 R( 8)"   0   8   91.5843 109189.03 4.193E-03 1.000E+11 1.000E+00
"C12O16 9A         1P 2-0 P( 8)"   0   8   91.7651 108973.86 4.671E-03 1.000E+11 1.000E+00
"C12O16 9A         1P 2-0 Q( 8)"   0   8   91.7427 109000.45 1.135E-02 1.000E+11 1.000E+00
"C12O16 9A         1P 2-0 R( 8)"   0   8   91.7176 109030.32 6.676E-03 1.000E+11 1.000E+00
"C12O16 9B      6ss1S 0-0 P( 8)"   0   8   91.9367 108770.45 1.328E-03 1.000E+11 1.000E+00
"C12O16 9B      6ss1S 0-0 R( 8)"   0   8   91.8753 108843.21 1.495E-03 1.000E+11 1.000E+00
"C12O16 9C      5ss1S 1-0 P( 8)"   0   8   92.0410 108647.27 1.325E-03 1.000E+11 1.000E+00
"C12O16 9C      5ss1S 1-0 R( 8)"   0   8   91.9862 108712.01 1.491E-03 1.000E+11 1.000E+00
"C12O16 10      5ds1S 0-0 P( 8)"   0   8   92.3029 108339.01 2.972E-03 3.333E+11 1.000E+00
"C12O16 10      5ds1S 0-0 R( 8)"   0   8   92.2479 108403.61 3.345E-03 3.333E+11 1.000E+00
"C12O16 11         1S 1-0 P( 8)"   0   8   92.4921 108117.29 2.425E-03 1.000E+11 1.000E+00
"C12O16 11         1S 1-0 R( 8)"   0   8   92.4380 108180.57 2.730E-03 1.000E+11 1.000E+00
"C12O16 12   W  3ss1P 3-0 P( 8)"   0   8   92.6206 107967.30 3.364E-03 3.333E+11 1.000E+00
"C12O16 12   W  3ss1P 3-0 Q( 8)"   0   8   92.5982 107993.48 8.172E-03 3.333E+11 1.000E+00
"C12O16 12   W  3ss1P 3-0 R( 8)"   0   8   92.5730 108022.87 4.809E-03 3.333E+11 1.000E+00
"C12O16 13         1P 2-0 P( 8)"   0   8   92.8929 107650.85 1.375E-03 1.000E+11 1.000E+00
"C12O16 13         1P 2-0 Q( 8)"   0   8   92.8665 107681.42 3.341E-03 1.000E+11 1.000E+00
"C12O16 13         1P 2-0 R( 8)"   0   8   92.8369 107715.81 1.966E-03 1.000E+11 1.000E+00
"C12O16 14         1P 2-0 P( 8)"   0   8   93.0377 107483.28 1.307E-03 1.000E+11 1.000E+00
"C12O16 14         1P 2-0 Q( 8)"   0   8   93.0126 107512.35 3.174E-03 1.000E+11 1.000E+00
"C12O16 14         1P 2-0 R( 8)"   0   8   92.9843 107545.04 1.868E-03 1.000E+11 1.000E+00
"C12O16 15A     5pp1P 0-0 P( 8)"   0   8   93.1474 107356.78 1.242E-03 1.000E+11 1.000E+00
"C12O16 15A     5pp1P 0-0 Q( 8)"   0   8   93.1245 107383.16 3.017E-03 1.000E+11 1.000E+00
"C12O16 15A     5pp1P 0-0 R( 8)"   0   8   93.0987 107412.83 1.775E-03 1.000E+11 1.000E+00
"C12O16 15B     5pp1P 0-0 P( 8)"   0   8   93.2137 107280.42 2.483E-03 1.000E+11 1.000E+00
"C12O16 15B     5pp1P 0-0 Q( 8)"   0   8   93.1937 107303.36 6.032E-03 1.000E+11 1.000E+00
"C12O16 15B     5pp1P 0-0 R( 8)"   0   8   93.1717 107328.77 3.549E-03 1.000E+11 1.000E+00
"C12O16 15C     5ps1S 0-0 P( 8)"   0   8   93.3221 107155.75 1.038E-02 1.000E+10 1.000E+00
"C12O16 15C     5ps1S 0-0 R( 8)"   0   8   93.2592 107228.05 1.168E-02 1.000E+10 1.000E+00
"C12O16 16         1S 2-0 P( 8)"   0   8   93.6425 106789.13 1.772E-03 3.333E+11 1.000E+00
"C12O16 16         1S 2-0 R( 8)"   0   8   93.6151 106820.41 1.994E-03 3.333E+11 1.000E+00
"C12O16 *          1S 0-0 P( 8)"   0   8   93.8258 106580.46 6.042E-06 3.333E+11 1.000E+00
"C12O16 *          1S 0-0 R( 8)"   0   8   93.7690 106645.09 6.802E-06 3.333E+11 1.000E+00
"C12O16 17   I' 5ss1S 0-0 P( 8)"   0   8   94.0413 106336.29 1.004E-02 1.000E+12 1.000E+00
"C12O16 17   I' 5ss1S 0-0 R( 8)"   0   8   93.9803 106405.31 1.131E-02 1.000E+12 1.000E+00
"C12O16 18   W  3ss1P 2-0 P( 8)"   0   8   94.1589 106203.44 5.303E-03 1.000E+11 1.000E+00
"C12O16 18   W  3ss1P 2-0 Q( 8)"   0   8   94.1359 106229.44 1.288E-02 1.000E+11 1.000E+00
"C12O16 18   W  3ss1P 2-0 R( 8)"   0   8   94.1100 106258.69 7.580E-03 1.000E+11 1.000E+00
"C12O16 19      4ds1S 0-0 P( 8)"   0   8   94.6580 105643.42 3.586E-03 1.000E+11 1.000E+00
"C12O16 19      4ds1S 0-0 R( 8)"   0   8   94.6008 105707.39 4.036E-03 1.000E+11 1.000E+00
"C12O16 20   L  4pp1P 1-0 P( 8)"   0   8   94.8644 105413.67 5.741E-04 1.000E+10 1.000E+00
"C12O16 20   L  4pp1P 1-0 Q( 8)"   0   8   94.8362 105445.02 1.395E-03 1.000E+10 1.000E+00
"C12O16 20   L  4pp1P 1-0 R( 8)"   0   8   94.8044 105480.28 8.206E-04 1.000E+10 1.000E+00
"C12O16 21   H  4ps1S 1-0 P( 8)"   0   8   95.0308 105229.08 1.037E-02 1.000E+12 1.000E+00
"C12O16 21   H  4ps1S 1-0 R( 8)"   0   8   94.9713 105294.94 1.167E-02 1.000E+12 1.000E+00
"C12O16 22   W  3ss1P 1-0 P( 8)"   0   8   95.6700 104525.93 2.772E-03 3.333E+11 1.000E+00
"C12O16 22   W  3ss1P 1-0 Q( 8)"   0   8   95.6472 104550.92 6.733E-03 3.333E+11 1.000E+00
"C12O16 22   W  3ss1P 1-0 R( 8)"   0   8   95.6215 104579.00 3.962E-03 3.333E+11 1.000E+00
"C12O16 23   H'    3P 3-0 P( 8)"   0   8   96.0845 104075.01 5.295E-05 3.333E+11 1.000E+00
"C12O16 23   H'    3P 3-0 Q( 8)"   0   8   96.0639 104097.41 1.286E-04 3.333E+11 1.000E+00
"C12O16 23   H'    3P 3-0 R( 8)"   0   8   96.0406 104122.61 7.568E-05 3.333E+11 1.000E+00
"C12O16 24   J  4ss1S 1-0 P( 8)"   0   8   96.4685 103660.81 1.315E-03 3.333E+11 1.000E+00
"C12O16 24   J  4ss1S 1-0 R( 8)"   0   8   96.4078 103726.05 1.480E-03 3.333E+11 1.000E+00
"C12O16 25   L  4pp1P 0-0 P( 8)"   0   8   96.8576 103244.34 1.593E-03 1.000E+10 1.000E+00
"C12O16 25   L  4pp1P 0-0 Q( 8)"   0   8   96.8279 103275.99 3.869E-03 1.000E+10 1.000E+00
"C12O16 25   L  4pp1P 0-0 R( 8)"   0   8   96.7946 103311.60 2.276E-03 1.000E+10 1.000E+00
"C12O16 26   L' 3dp1P 1-0 P( 8)"   0   8   96.9237 103173.99 2.552E-03 3.333E+11 1.000E+00
"C12O16 26   L' 3dp1P 1-0 Q( 8)"   0   8   96.8967 103202.71 6.199E-03 3.333E+11 1.000E+00
"C12O16 26   L' 3dp1P 1-0 R( 8)"   0   8   96.8664 103235.02 3.647E-03 3.333E+11 1.000E+00
"C12O16 27   K  4ps1S 0-0 P( 8)"   0   8   97.0653 103023.42 9.880E-03 1.000E+10 1.000E+00
"C12O16 27   K  4ps1S 0-0 R( 8)"   0   8   97.0042 103088.29 1.112E-02 1.000E+10 1.000E+00
"C12O16 28   W  3ss1P 0-0 P( 8)"   0   8   97.3181 102755.81 2.482E-03 1.000E+10 1.000E+00
"C12O16 28   W  3ss1P 0-0 Q( 8)"   0   8   97.2946 102780.64 6.030E-03 1.000E+10 1.000E+00
"C12O16 28   W  3ss1P 0-0 R( 8)"   0   8   97.2682 102808.52 3.548E-03 1.000E+10 1.000E+00
"C12O16 29   W'    3P 2-0 P( 8)"   0   8   97.7913 102258.62 3.748E-04 1.000E+11 1.000E+00
"C12O16 29   W'    3P 2-0 Q( 8)"   0   8   97.7678 102283.18 9.105E-04 1.000E+11 1.000E+00
"C12O16 29   W'    3P 2-0 R( 8)"   0   8   97.7414 102310.80 5.358E-04 1.000E+11 1.000E+00
"C12O16 30   F  3ds1S 1-0 P( 8)"   0   8   98.2928 101736.90 2.257E-04 3.333E+11 1.000E+00
"C12O16 30   F  3ds1S 1-0 R( 8)"   0   8   98.2321 101799.75 2.541E-04 3.333E+11 1.000E+00
"C12O16 31   J  4ss1S 0-0 P( 8)"   0   8   98.5897 101430.52 7.224E-03 1.000E+12 1.000E+00
"C12O16 31   J  4ss1S 0-0 R( 8)"   0   8   98.5260 101496.04 8.132E-03 1.000E+12 1.000E+00
"C12O16 32   G  3dp1P 0-0 P( 8)"   0   8   99.0074 101002.51 9.496E-05 1.000E+11 1.000E+00
"C12O16 32   G  3dp1P 0-0 Q( 8)"   0   8   98.9767 101033.90 2.307E-04 1.000E+11 1.000E+00
"C12O16 32   G  3dp1P 0-0 R( 8)"   0   8   98.9421 101069.21 1.357E-04 1.000E+11 1.000E+00
"C12O16 *    G'    3P 1-0 P( 8)"   0   8   99.4054 100598.16 2.356E-06 1.000E+10 1.000E+00
"C12O16 *    G'    3P 1-0 Q( 8)"   0   8   99.3815 100622.30 5.722E-06 1.000E+10 1.000E+00
"C12O16 *    G'    3P 1-0 R( 8)"   0   8   99.3548 100649.44 3.367E-06 1.000E+10 1.000E+00
"C12O16 *    C  3ps1S 4-0 P( 8)"   0   8   99.6456 100355.65 1.071E-04 1.000E+12 1.000E+00
"C12O16 *    C  3ps1S 4-0 R( 8)"   0   8   99.5835 100418.21 1.206E-04 1.000E+12 1.000E+00
"C12O16 33   F  3ds1S 0-0 P( 8)"   0   8  100.2970  99703.85 3.733E-03 3.333E+11 1.000E+00
"C12O16 33   F  3ds1S 0-0 R( 8)"   0   8  100.2363  99764.22 4.203E-03 3.333E+11 1.000E+00
"C12O16 34   V     3P 0-0 P( 8)"   0   8  101.1353  98877.44 9.102E-06 1.000E+09 1.000E+00
"C12O16 34   V     3P 0-0 Q( 8)"   0   8  101.1073  98904.85 2.211E-05 1.000E+09 1.000E+00
"C12O16 34   V     3P 0-0 R( 8)"   0   8  101.0758  98935.66 1.301E-05 1.000E+09 1.000E+00
