#
#       site : https://molat.obspm.fr/index.php?page=pages/Molecules/CO-Rostas/view_data.php&fichier=T112C16O.txt
#
#       Table 1A. Absorption lines of 12C16O listed by rotational number (J") of
#                 the lower level.  
#
#       - column no 1 : (" between quotes ") band identification
#       - column no 2 : lower vibrational level
#       - column no 3 : lower rotational  level
#       - column no 4 : wavelength (in nm)
#       - column no 5 : wavenumber (in cm-1)
#       - column no 6 : oscillator strength
#       - column no 7 : upper state reciprocal lifetime (in s-1)
#       - column no 8 : upper state branching ratio towards dissociation
#
#       For more details concerning this table, please refer to page 234 of the paper by
#       Eidelsberg et al.(1991) which can be downloaded from this site. 
#
nb of lines:  3051
"C12O16 42   B  3ss1S 1-0 R( 0)"   0   0  112.3568  89002.16 7.161E-04 1.000E+08 0.000E+00
"C12O16 43   B  3ss1S 0-0 R( 0)"   0   0  115.0482  86920.08 4.516E-03 1.000E+08 0.000E+00
"C12O16 7A         1P 0-0 Q( 1)"   0   1   91.2701 109564.90 1.689E-03 1.000E+10 1.000E+00
"C12O16 7A         1P 0-0 R( 1)"   0   1   91.2637 109572.59 1.689E-03 1.000E+10 1.000E+00
"C12O16 7B      5ps1S 1-0 P( 1)"   0   1   91.3428 109477.73 5.598E-04 1.000E+10 1.000E+00
"C12O16 7B      5ps1S 1-0 R( 1)"   0   1   91.3336 109488.71 1.120E-03 1.000E+10 1.000E+00
"C12O16 7C      5pp1P 1-0 Q( 1)"   0   1   91.3425 109478.07 8.397E-04 1.000E+10 1.000E+00
"C12O16 7C      5pp1P 1-0 R( 1)"   0   1   91.3360 109485.89 8.398E-04 1.000E+10 1.000E+00
"C12O16 7D         1S 2-0 P( 1)"   0   1   91.3696 109445.55 8.979E-03 1.000E+10 1.000E+00
"C12O16 7D         1S 2-0 R( 1)"   0   1   91.3608 109456.19 1.796E-02 1.000E+10 1.000E+00
"C12O16 8A      6pp1P 0-0 Q( 1)"   0   1   91.5726 109202.95 9.905E-04 1.000E+11 1.000E+00
"C12O16 8A      6pp1P 0-0 R( 1)"   0   1   91.5662 109210.55 9.905E-04 1.000E+11 1.000E+00
"C12O16 8B      6ps1S 0-0 P( 1)"   0   1   91.6003 109169.94 2.640E-03 1.000E+11 1.000E+00
"C12O16 8B      6ps1S 0-0 R( 1)"   0   1   91.5917 109180.24 5.280E-03 1.000E+11 1.000E+00
"C12O16 9A         1P 2-0 Q( 1)"   0   1   91.7276 109018.40 1.135E-02 1.000E+11 1.000E+00
"C12O16 9A         1P 2-0 R( 1)"   0   1   91.7220 109025.08 1.135E-02 1.000E+11 1.000E+00
"C12O16 9B      6ss1S 0-0 P( 1)"   0   1   91.9243 108785.15 9.406E-04 1.000E+11 1.000E+00
"C12O16 9B      6ss1S 0-0 R( 1)"   0   1   91.9135 108797.99 1.881E-03 1.000E+11 1.000E+00
