from Draine B., 1985, ApJSS, 57, 87 
122 points - wavelength from 227.9 A to 2e7 A
2   sizes  - a = 0.1 and 0.01 micron
The dielec. function depends on size for l > 10^5 A
###################################################
################# a = 0.1 microns #################
###################################################
#lambda      eps||1    eps||2     eps_|_1   eps_|_2
5.5000E-1    5.37E+0   1.19E+0    5.05E+0   8.56E+0
4.8610E-1    5.37E+0   1.71E+0    4.84E+0   8.29E+0
4.4000E-1    5.23E+0   2.25E+0    4.63E+0   8.28E+0
4.3400E-1    5.18E+0   2.32E+0    4.59E+0   8.28E+0
4.0000E-1    4.73E+0   2.68E+0    4.31E+0   8.35E+0
3.6500E-1    4.28E+0   2.83E+0    3.90E+0   8.56E+0
3.3000E-1    3.79E+0   3.10E+0    3.20E+0   9.17E+0
3.0000E-1    2.99E+0   3.14E+0    1.39E+0   9.94E+0
2.8000E-1    2.41E+0   2.86E+0   -9.48E-1   9.84E+0 
2.6000E-1    2.02E+0   2.27E+0   -3.36E+0   7.35E+0 
2.4000E-1    1.96E+0   1.71E+0   -3.33E+0   4.15E+0 
2.3000E-1    2.02E+0   1.43E+0   -2.66E+0   3.05E+0 
2.2500E-1    2.08E+0   1.30E+0   -2.31E+0   2.67E+0 
2.2000E-1    2.15E+0   1.22E+0   -1.97E+0   2.31E+0 
2.1750E-1    2.18E+0   1.18E+0   -1.79E+0   2.15E+0 
2.1500E-1    2.21E+0   1.13E+0   -1.62E+0   2.03E+0 
2.1000E-1    2.28E+0   1.03E+0   -1.29E+0   1.82E+0 
2.0000E-1    2.47E+0   8.88E-1   -7.22E-1   1.50E+0 
1.9000E-1    2.69E+0   8.21E-1   -2.18E-1   1.23E+0 
1.8000E-1    2.87E+0   8.47E-1    2.48E-1   1.04E+0 
1.7000E-1    2.99E+0   8.33E-1    6.78E-1   8.96E-1
1.6000E-1    3.21E+0   7.43E-1    1.10E+0   7.90E-1
1.5000E-1    3.65E+0   7.51E-1    1.52E+0   7.01E-1
1.4000E-1    4.19E+0   1.02E+0    2.04E+0   6.68E-1
1.3000E-1    4.94E+0   1.53E+0    2.86E+0   7.93E-1 
1.2000E-1    6.18E+0   3.29E+0    3.38E+0   1.26E+0 
