30 = number of temperatures

3.000E-04 = radius(micron), DUSTEM mixture    PAH0: 0.6    PAH1: 0.4
Temperature (K)       C_heat (erg K-1 cm-3) C_heat (erg K-1 cm-3) 
4.4476438156E-01      7.6824555508E+01      7.6824555508E+01
6.4590701305E-01      1.6199442395E+02      1.6199442395E+02
9.3799602943E-01      3.4166467222E+02      3.4166467222E+02
1.3621658871E+00      7.2060966910E+02      7.2060966910E+02
1.9781991003E+00      1.5194978672E+03      1.5194978672E+03
2.8727643321E+00      3.2047938938E+03      3.2047938938E+03
4.1718626333E+00      6.7592749710E+03      6.7592749710E+03
6.0585681859E+00      1.4252797794E+04      1.4252797794E+04
8.7983249944E+00      3.0060772264E+04      3.0060772264E+04
1.2776149940E+01      6.3401589088E+04      6.3401589088E+04
1.8556668094E+01      1.3369037847E+05      1.3369037847E+05
2.6946353324E+01      2.8196821980E+05      2.8196821980E+05
3.9129112713E+01      5.9470305857E+05      5.9470305857E+05
5.6832923914E+01      1.2525647391E+06      1.2525647391E+06
8.2527749077E+01      2.6049547951E+06      2.6049547951E+06
1.1983950321E+02      5.1522888189E+06      5.1522888189E+06
1.7406040913E+02      9.3301004656E+06      9.3301004656E+06
2.5275514226E+02      1.5404888232E+07      1.5404888232E+07
3.6702867848E+02      2.3411583113E+07      2.3411583113E+07
5.3308934224E+02      3.2553898971E+07      3.2553898971E+07
7.7410522707E+02      4.1153143481E+07      4.1153143481E+07
1.1240871935E+03      4.7883857406E+07      4.7883857406E+07
1.6326759671E+03      5.2429442834E+07      5.2429442834E+07
2.3708277395E+03      5.5153775010E+07      5.5153775010E+07
3.4427065039E+03      5.6644970636E+07      5.6644970636E+07
5.0003453498E+03      5.7777847232E+07      5.7777847232E+07

7.000E-04 = radius(micron), DUSTEM mixture    PAH0: 0.6    PAH1: 0.4
Temperature (K)       C_heat (erg K-1 cm-3) C_heat (erg K-1 cm-3) 
1.0000000000E-01      3.0890861095E+00      3.0890861095E+00
1.4522119294E-01      8.1895497821E+00      8.1895497821E+00
2.1089680480E-01      1.7270306171E+01      1.7270306171E+01
3.0626685580E-01      3.6425040769E+01      3.6425040769E+01
4.4476438156E-01      7.6824555508E+01      7.6824555508E+01
6.4590701305E-01      1.6199442395E+02      1.6199442395E+02
9.3799602943E-01      3.4166467222E+02      3.4166467222E+02
1.3621658871E+00      7.2060966910E+02      7.2060966910E+02
1.9781991003E+00      1.5194978672E+03      1.5194978672E+03
2.8727643321E+00      3.2047938938E+03      3.2047938938E+03
4.1718626333E+00      6.7592749710E+03      6.7592749710E+03
6.0585681859E+00      1.4252797794E+04      1.4252797794E+04
8.7983249944E+00      3.0060772264E+04      3.0060772264E+04
1.2776149940E+01      6.3401589088E+04      6.3401589088E+04
1.8556668094E+01      1.3369037847E+05      1.3369037847E+05
2.6946353324E+01      2.8196821980E+05      2.8196821980E+05
3.9129112713E+01      5.9470305857E+05      5.9470305857E+05
5.6832923914E+01      1.2525647391E+06      1.2525647391E+06
8.2527749077E+01      2.6049547951E+06      2.6049547951E+06
1.1983950321E+02      5.1522888189E+06      5.1522888189E+06
1.7406040913E+02      9.3282506641E+06      9.3282506641E+06
2.5275514226E+02      1.5395727450E+07      1.5395727450E+07
3.6702867848E+02      2.3388384214E+07      2.3388384214E+07
5.3308934224E+02      3.2508746497E+07      3.2508746497E+07
7.7410522707E+02      4.1096063797E+07      4.1096063797E+07
1.1240871935E+03      4.7807961809E+07      4.7807961809E+07
1.6326759671E+03      5.2335964240E+07      5.2335964240E+07
2.3708277395E+03      5.5055439093E+07      5.5055439093E+07
3.4427065039E+03      5.6532765501E+07      5.6532765501E+07
5.0003453498E+03      5.7663398039E+07      5.7663398039E+07

8.000E-04 = radius(micron), DUSTEM mixture    PAH0: 0.6    PAH1: 0.4
Temperature (K)       C_heat (erg K-1 cm-3) C_heat (erg K-1 cm-3) 
1.0000000000E-01      3.0890861095E+00      3.0890861095E+00
1.4522119294E-01      8.1895497821E+00      8.1895497821E+00
2.1089680480E-01      1.7270306171E+01      1.7270306171E+01
3.0626685580E-01      3.6425040769E+01      3.6425040769E+01
4.4476438156E-01      7.6824555508E+01      7.6824555508E+01
6.4590701305E-01      1.6199442395E+02      1.6199442395E+02
9.3799602943E-01      3.4166467222E+02      3.4166467222E+02
1.3621658871E+00      7.2060966910E+02      7.2060966910E+02
1.9781991003E+00      1.5194978672E+03      1.5194978672E+03
2.8727643321E+00      3.2047938938E+03      3.2047938938E+03
4.1718626333E+00      6.7592749710E+03      6.7592749710E+03
6.0585681859E+00      1.4252797794E+04      1.4252797794E+04
8.7983249944E+00      3.0060772264E+04      3.0060772264E+04
1.2776149940E+01      6.3401589088E+04      6.3401589088E+04
1.8556668094E+01      1.3369037847E+05      1.3369037847E+05
2.6946353324E+01      2.8196821980E+05      2.8196821980E+05
3.9129112713E+01      5.9470305857E+05      5.9470305857E+05
5.6832923914E+01      1.2525647391E+06      1.2525647391E+06
8.2527749077E+01      2.6049547951E+06      2.6049547951E+06
1.1983950321E+02      5.1522888189E+06      5.1522888189E+06
1.7406040913E+02      9.3282506641E+06      9.3282506641E+06
2.5275514226E+02      1.5395727450E+07      1.5395727450E+07
3.6702867848E+02      2.3388384214E+07      2.3388384214E+07
5.3308934224E+02      3.2508746497E+07      3.2508746497E+07
7.7410522707E+02      4.1096063797E+07      4.1096063797E+07
1.1240871935E+03      4.7807961809E+07      4.7807961809E+07
1.6326759671E+03      5.2335964240E+07      5.2335964240E+07
2.3708277395E+03      5.5055439093E+07      5.5055439093E+07
3.4427065039E+03      5.6532765501E+07      5.6532765501E+07
5.0003453498E+03      5.7663398039E+07      5.7663398039E+07

9.000E-04 = radius(micron), DUSTEM mixture    PAH0: 0.6    PAH1: 0.4
Temperature (K)       C_heat (erg K-1 cm-3) C_heat (erg K-1 cm-3) 
1.0000000000E-01      3.0890861095E+00      3.0890861095E+00
1.4522119294E-01      8.1895497821E+00      8.1895497821E+00
2.1089680480E-01      1.7270306171E+01      1.7270306171E+01
3.0626685580E-01      3.6425040769E+01      3.6425040769E+01
4.4476438156E-01      7.6824555508E+01      7.6824555508E+01
6.4590701305E-01      1.6199442395E+02      1.6199442395E+02
9.3799602943E-01      3.4166467222E+02      3.4166467222E+02
1.3621658871E+00      7.2060966910E+02      7.2060966910E+02
1.9781991003E+00      1.5194978672E+03      1.5194978672E+03
2.8727643321E+00      3.2047938938E+03      3.2047938938E+03
4.1718626333E+00      6.7592749710E+03      6.7592749710E+03
6.0585681859E+00      1.4252797794E+04      1.4252797794E+04
8.7983249944E+00      3.0060772264E+04      3.0060772264E+04
1.2776149940E+01      6.3401589088E+04      6.3401589088E+04
1.8556668094E+01      1.3369037847E+05      1.3369037847E+05
2.6946353324E+01      2.8196821980E+05      2.8196821980E+05
3.9129112713E+01      5.9470305857E+05      5.9470305857E+05
5.6832923914E+01      1.2525647391E+06      1.2525647391E+06
8.2527749077E+01      2.6049547951E+06      2.6049547951E+06
1.1983950321E+02      5.1522888189E+06      5.1522888189E+06
1.7406040913E+02      9.3282506641E+06      9.3282506641E+06
2.5275514226E+02      1.5395727450E+07      1.5395727450E+07
3.6702867848E+02      2.3388384214E+07      2.3388384214E+07
5.3308934224E+02      3.2508746497E+07      3.2508746497E+07
7.7410522707E+02      4.1096063797E+07      4.1096063797E+07
1.1240871935E+03      4.7807961809E+07      4.7807961809E+07
1.6326759671E+03      5.2335964240E+07      5.2335964240E+07
2.3708277395E+03      5.5055439093E+07      5.5055439093E+07
3.4427065039E+03      5.6532765501E+07      5.6532765501E+07
5.0003453498E+03      5.7663398039E+07      5.7663398039E+07

1.000E-03 = radius(micron), DUSTEM mixture    log transition towards a=3 nm
Temperature (K)       C_heat (erg K-1 cm-3) C_heat (erg K-1 cm-3) 
1.0000000000E-01      3.0890861008E+00      3.3286570748E+00
1.4522119294E-01      8.1895497391E+00      8.9282418012E+00
2.1089680480E-01      1.7270306048E+01      1.8914771769E+01
3.0626685580E-01      3.6425040442E+01      4.0013895962E+01
4.4476438156E-01      7.6824554675E+01      8.4574033070E+01
6.4590701305E-01      1.6199442189E+02      1.7862150806E+02
9.3799602943E-01      3.4166466724E+02      3.7719697703E+02
1.3621658871E+00      7.2060965725E+02      7.9633224031E+02
1.9781991003E+00      1.5194978394E+03      1.6805410716E+03
2.8727643321E+00      3.2047938292E+03      3.5468735820E+03
4.1718626333E+00      6.7592748221E+03      7.4850987439E+03
6.0585681859E+00      1.4252797453E+04      1.5791438391E+04
8.7983249944E+00      3.0060771489E+04      3.3321000846E+04
1.2776149940E+01      6.3401587337E+04      7.0308352948E+04
1.8556668094E+01      1.3369037453E+05      1.4831757094E+05
2.6946353324E+01      2.8196821096E+05      3.1294703201E+05
3.9129112713E+01      5.9470303881E+05      6.6007022541E+05
5.6832923914E+01      1.2525646951E+06      1.3867494645E+06
8.2527749077E+01      2.6048541132E+06      2.8576970458E+06
1.1983950321E+02      5.1499014107E+06      5.5580130881E+06
1.7406040913E+02      9.3086262089E+06      9.8531651468E+06
2.5275514226E+02      1.5314355998E+07      1.5911963402E+07
3.6702867848E+02      2.3180097182E+07      2.3679373015E+07
5.3308934224E+02      3.2132341616E+07      3.2327544348E+07
7.7410522707E+02      4.0546022788E+07      4.0303157353E+07
1.1240871935E+03      4.7094669383E+07      4.6436584882E+07
1.6326759671E+03      5.1482820554E+07      5.0527378221E+07
2.3708277395E+03      5.4100953774E+07      5.2966410065E+07
3.4427065039E+03      5.5517989168E+07      5.4285607717E+07
5.0003453498E+03      5.6598487756E+07      5.5293540519E+07

1.122E-03 = radius(micron), DUSTEM mixture    log transition towards a=3 nm
Temperature (K)       C_heat (erg K-1 cm-3) C_heat (erg K-1 cm-3) 
1.0000000000E-01      3.0890860913E+00      3.6322136666E+00
1.4522119294E-01      8.1895496921E+00      9.8515919949E+00
2.1089680480E-01      1.7270305913E+01      2.0960489520E+01
3.0626685580E-01      3.6425040085E+01      4.4465118740E+01
4.4476438156E-01      7.6824553764E+01      9.4165990411E+01
6.4590701305E-01      1.6199441964E+02      1.9917153983E+02
9.3799602943E-01      3.4166466179E+02      4.2106287607E+02
1.3621658871E+00      7.2060964431E+02      8.8973102804E+02
1.9781991003E+00      1.5194978090E+03      1.8790380560E+03
2.8727643321E+00      3.2047937586E+03      3.9682684701E+03
4.1718626333E+00      6.7592746593E+03      8.3787853892E+03
6.0585681859E+00      1.4252797081E+04      1.7685196288E+04
8.7983249944E+00      3.0060770643E+04      3.7332382996E+04
1.2776149940E+01      6.3401585423E+04      7.8804409179E+04
1.8556668094E+01      1.3369037022E+05      1.6630772496E+05
2.6946353324E+01      2.8196820130E+05      3.5104417922E+05
3.9129112713E+01      5.9470301722E+05      7.4042039333E+05
5.6832923914E+01      1.2525646471E+06      1.5511475785E+06
8.2527749077E+01      2.6047441168E+06      3.1640463722E+06
1.1983950321E+02      5.1472943676E+06      6.0404678309E+06
1.7406040913E+02      9.2872354165E+06      1.0462723073E+07
2.5275514226E+02      1.5225973793E+07      1.6497030063E+07
3.6702867848E+02      2.2954774429E+07      2.4001683420E+07
5.3308934224E+02      3.1726360862E+07      3.2130790632E+07
7.7410522707E+02      3.9953954432E+07      3.9455312467E+07
1.1240871935E+03      4.6328190389E+07      4.4985663297E+07
1.6326759671E+03      5.0567477239E+07      4.8626623445E+07
2.3708277395E+03      5.3078067302E+07      5.0779395077E+07
3.4427065039E+03      5.4431238549E+07      5.1937903713E+07
5.0003453498E+03      5.5458709101E+07      5.2821470512E+07

1.259E-03 = radius(micron), DUSTEM mixture    log transition towards a=3 nm
Temperature (K)       C_heat (erg K-1 cm-3) C_heat (erg K-1 cm-3) 
1.0000000000E-01      3.0890860817E+00      3.9889452867E+00
1.4522119294E-01      8.1895496450E+00      1.0919550869E+01
2.1089680480E-01      1.7270305779E+01      2.3312951973E+01
3.0626685580E-01      3.6425039727E+01      4.9565105254E+01
4.4476438156E-01      7.6824552853E+01      1.0512823171E+02
6.4590701305E-01      1.6199441739E+02      2.2261431600E+02
9.3799602943E-01      3.4166465635E+02      4.7103263981E+02
1.3621658871E+00      7.2060963135E+02      9.9600684676E+02
1.9781991003E+00      1.5194977785E+03      2.1047018384E+03
2.8727643321E+00      3.2047936879E+03      4.4469868513E+03
4.1718626333E+00      6.7592744964E+03      9.3934229736E+03
6.0585681859E+00      1.4252796709E+04      1.9834188094E+04
8.7983249944E+00      3.0060769796E+04      4.1882483351E+04
1.2776149940E+01      6.3401583507E+04      8.8438381423E+04
1.8556668094E+01      1.3369036591E+05      1.8670272578E+05
2.6946353324E+01      2.8196819163E+05      3.9422678917E+05
3.9129112713E+01      5.9470299561E+05      8.3144727289E+05
5.6832923914E+01      1.2525645991E+06      1.7367330633E+06
8.2527749077E+01      2.6046340373E+06      3.5059702928E+06
1.1983950321E+02      5.1446866445E+06      6.5681719857E+06
1.7406040913E+02      9.2658797761E+06      1.1113013868E+07
2.5275514226E+02      1.5138062216E+07      1.7105449928E+07
3.6702867848E+02      2.2731592247E+07      2.4328906408E+07
5.3308934224E+02      3.1325484057E+07      3.1935147270E+07
7.7410522707E+02      3.9370555012E+07      3.8625644325E+07
1.1240871935E+03      4.5574282859E+07      4.3581459317E+07
1.6326759671E+03      4.9668596417E+07      4.6799819216E+07
2.3708277395E+03      5.2074791728E+07      4.8685913119E+07
3.4427065039E+03      5.3366087312E+07      4.9695433160E+07
5.0003453498E+03      5.4342259727E+07      5.0464003069E+07

1.413E-03 = radius(micron), DUSTEM mixture    log transition towards a=3 nm
Temperature (K)       C_heat (erg K-1 cm-3) C_heat (erg K-1 cm-3) 
1.0000000000E-01      3.0890860722E+00      4.4113896973E+00
1.4522119294E-01      8.1895495979E+00      1.2161688523E+01
2.1089680480E-01      1.7270305644E+01      2.6030909441E+01
3.0626685580E-01      3.6425039368E+01      5.5432454615E+01
4.4476438156E-01      7.6824551940E+01      1.1770263516E+02
6.4590701305E-01      1.6199441514E+02      2.4944677266E+02
9.3799602943E-01      3.4166465089E+02      5.2813207247E+02
1.3621658871E+00      7.2060961837E+02      1.1172851372E+03
1.9781991003E+00      1.5194977481E+03      2.3619501590E+03
2.8727643321E+00      3.2047936171E+03      4.9922334414E+03
4.1718626333E+00      6.7592743333E+03      1.0548223962E+04
6.0585681859E+00      1.4252796335E+04      2.2278584251E+04
8.7983249944E+00      3.0060768948E+04      4.7055409100E+04
1.2776149940E+01      6.3401581588E+04      9.9386730572E+04
1.8556668094E+01      1.3369036159E+05      2.0987341424E+05
2.6946353324E+01      2.8196818195E+05      4.4327533816E+05
3.9129112713E+01      5.9470297397E+05      9.3477752718E+05
5.6832923914E+01      1.2525645509E+06      1.9466374715E+06
8.2527749077E+01      2.6045237789E+06      3.8882515763E+06
1.1983950321E+02      5.1420759765E+06      7.1461940427E+06
1.7406040913E+02      9.2445407609E+06      1.1807573395E+07
2.5275514226E+02      1.5050543264E+07      1.7738784985E+07
3.6702867848E+02      2.2510339789E+07      2.4661415006E+07
5.3308934224E+02      3.0929305941E+07      3.1740440087E+07
7.7410522707E+02      3.8795202001E+07      3.7813059276E+07
1.1240871935E+03      4.4832100793E+07      4.2221266275E+07
1.6326759671E+03      4.8785119599E+07      4.5042504587E+07
2.3708277395E+03      5.1089900302E+07      4.6680131888E+07
3.4427065039E+03      5.2321202975E+07      4.7551505465E+07
5.0003453498E+03      5.3247715438E+07      4.8213741192E+07

1.585E-03 = radius(micron), DUSTEM mixture    log transition towards a=3 nm
Temperature (K)       C_heat (erg K-1 cm-3) C_heat (erg K-1 cm-3) 
1.0000000000E-01      3.0890860627E+00      4.9119210245E+00
1.4522119294E-01      8.1895495510E+00      1.3603884646E+01
2.1089680480E-01      1.7270305510E+01      2.9162706139E+01
3.0626685580E-01      3.6425039012E+01      6.2160272262E+01
4.4476438156E-01      7.6824551031E+01      1.3207211365E+02
6.4590701305E-01      1.6199441289E+02      2.8003346866E+02
9.3799602943E-01      3.4166464546E+02      5.9309477694E+02
1.3621658871E+00      7.2060960546E+02      1.2550533950E+03
1.9781991003E+00      1.5194977177E+03      2.6538185783E+03
2.8727643321E+00      3.2047935466E+03      5.6102332269E+03
4.1718626333E+00      6.7592741709E+03      1.1856001711E+04
6.0585681859E+00      1.4252795964E+04      2.5044855227E+04
8.7983249944E+00      3.0060768103E+04      5.2905995592E+04
1.2776149940E+01      6.3401579679E+04      1.1176347700E+05
